Task ID,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Touchpoints ,Touchpoint
1.21021E+15,Confirm Meeting Date & Time with Client and Any Questions Regarding Implementation Plan or Items Due From Last Meeting,Confirming & Scheduling Meeting Dates & Times,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21036E+15,Enter Dates into ASANA,Confirming & Scheduling Meeting Dates & Times,,,,,,,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Submit Proposed Dates/Time for DRPM,Confirming & Scheduling Meeting Dates & Times,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21036E+15,Update New Meeting in ASANA and Create Meeting ,Confirming & Scheduling Meeting Dates & Times,,,,,,,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15, Send Out Expectation Email # 1 to Team Through Asana,Confirming & Scheduling Meeting Dates & Times,,,,,,Be sure to add the team members in this Followers Section at the bottom when you copy and paste the Expectations Email,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,Preparing for & Gathering Information for Meetings,,,,,,Click on subtask below for description ,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Estate Attorney,,,,,,,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21021E+15,Financial Planner,,,,,,,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21021E+15,"Insurance Planner - Life, LTC, Disability",,,,,,,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21036E+15,"Insurance Planner - P&C, Business",,,,,,,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21057E+15,Insurance Planner - Health,,,,,,,,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21021E+15,Money Manager,,,,,,,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21021E+15,Tax Planner,,,,,,,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,,,
1.21021E+15,Consolidate Items Still Needed and Send to SMEs,Preparing for & Gathering Information for Meetings,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Consolidate Highest Priority Conversations & Update Meeting Agenda,Preparing for & Gathering Information for Meetings,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,"Communicate the Team's Highest Priorities to each SME (e.g. @Chad or @Ted, etc)",,,,,,,—,,Consolidate Highest Priority Conversations & Update Meeting Agenda,,,,
1.21021E+15,Request Account Values for Any Outside Accounts and Transactions,Preparing for & Gathering Information for Meetings,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Request Actions Taken Since Last Meeting by Team and Client,Preparing for & Gathering Information for Meetings,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Create Initial Client Agenda,,,,,,,—,,Request Actions Taken Since Last Meeting by Team and Client,,,,
1.21021E+15,Download Account Values & Transactions for Growth Accounts,Preparing for & Gathering Information for Meetings,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Create Circle Chart,Preparing for DRPM,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21023E+15,Financial Planner Review Circle Chart,Preparing for DRPM,,,,,,,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Provide Circle Chart to Team with Expectation Letter # 2 to Team Through Asana,Preparing for DRPM,,,,,,Be sure to add the team members in this Followers Section at the bottom when you copy and paste the Expectations Email,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Confirm date of DRPM,,,,,,,—,,Provide Circle Chart to Team with Expectation Letter # 2 to Team Through Asana,,,,
1.21021E+15,"Generate Reports in Database, Documents Due for Preliminary Packet",Preparing for DRPM,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Financial Roadmap Updated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Implementation Plan (GPS) Updated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Paperwork Sources Updated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Behind the Numbers Report Generated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Numbers History Report Updated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Since Inception Report Updated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Goal Progress Report,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Growth Progress Since Last Meeting Generated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Growth Progress Since Inception Generated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Annual Income From Current Assets Report Generated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Total Progress Report Generated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,The Master Goal Tracker Updated,,,,,,,—,,"Generate Reports in Database, Documents Due for Preliminary Packet",,,,
1.21021E+15,Submit Critical Reports and Final Highest Priority Conversation,Preparing for DRPM,,,,,,"Click on subtask below for list of reports 
Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",CSR Meeting Template (mm-dd-yy),,,,,
1.21021E+15,Estate Attorney,,,,,,,"—
Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21021E+15,The Legacy Flow Chart Updated,,,,,,,—,,Estate Attorney,,,,
1.21021E+15,POA Summary Updated,,,,,,,—,,Estate Attorney,,,,
1.21021E+15,Asset Titling Report Updated,,,,,,,—,,Estate Attorney,,,,
1.21021E+15,Financial Planner,,,,,,,"Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21021E+15,The Goal Blueprint Updated,,,,,,,—,,Financial Planner,,,,
1.21021E+15,Lifetime Capital Projection,,,,,,,—,,Financial Planner,,,,
1.21021E+15,Multiple Scenario Projections,,,,,,,—,,Financial Planner,,,,
1.21021E+15,"Insurance Planner - Life, LTC, Disability ",,,,,,,"—
Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21021E+15,Insurance Grid Updated,,,,,,,—,,"Insurance Planner - Life, LTC, Disability ",,,,
1.21035E+15,"Insurance Planner - P&C, Business",,,,,,,"Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21035E+15,Insurance Grid Updated,,,,,,,,,"Insurance Planner - P&C, Business",,,,
1.21057E+15,Insurance Planner - Health ,,,,,,,,,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21021E+15,Money Managers,,,,,,,"—
Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21021E+15,Tax Planner,,,,,,,"Critical Reports - Upload to ASANA
Highest Priority Conversation add in comment section ",,Submit Critical Reports and Final Highest Priority Conversation,,,,
1.21021E+15,Annual Tax Projection Completed,,,,,,,—,,Tax Planner,,,,
1.21021E+15,Copy of Last Tax Return Filed on Record,,,,,,,—,,Tax Planner,,,,
1.21021E+15,Trust Advisor Review of Preliminary Packet,Preparing for DRPM,,,,,,—,CSR Meeting Template (mm-dd-yy),,,,,
