Milestone,Parent Task,Description of Parent Task,Sub-Task,Sub-Task Description,Sub-Sub-Task,Sub-Sub-Task Description,Assignee,Due Date,Comments Section
Confirming & Scheduling Meeting Dates & Times,Confirm Meeting Date & Time with Client and Any Questions Regarding Implementation Plan or Items Due From Last Meeting,,,,,,,10/12/2025,
Confirming & Scheduling Meeting Dates & Times,Confirm Preselected Dates in ClientHub,,,,,,,10/13/2025,
Confirming & Scheduling Meeting Dates & Times,Confirm Proposed Dates/Time for DRPM,,,,,,,10/15/2025,
Confirming & Scheduling Meeting Dates & Times,Update New Meeting in ClientHub and Create Meeting Packet Folder,,,,,,,10/22/2025,
Confirming & Scheduling Meeting Dates & Times,Send Out Expectation Email # 1 to Team Through Email,,,,,,,10/23/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,Estate Attorney,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,Financial Planner,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,"Insurance Planner - Life, LTC, Disability",Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,"Insurance Planner - P&C, Business",Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,Insurance Planner - Health,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,Money Manager,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Submit Your Items Still Needed & Initial Highest Priority Conversation Reports,,Tax Planner,Enter the Items Still Needed and your Highest Priority Conversation below in the comments area,,,,10/31/2025,
Preparing for & Gathering Information for Meetings,Consolidate Items Still Needed and Send to SMEs,,,,,,,10/24/2025,
Preparing for & Gathering Information for Meetings,Consolidate Highest Priority Conversations & Update Meeting Agenda,,"Communicate the Team's Highest Priorities to each SME (e.g. @Chad or @Ted, etc)",,,,,10/24/2025,
Preparing for & Gathering Information for Meetings,Request Account Values for Any Outside Accounts and Transactions,,,,,,,11/21/2025,
Preparing for & Gathering Information for Meetings,Request Actions Taken Since Last Meeting by Team and Client,,Create Initial Client Agenda,,,,,12/1/2025,
Preparing for & Gathering Information for Meetings,Download Account Values & Transactions for Growth Accounts,,,,,,,12/6/2025,
Preparing for DRPM,Create Circle Chart,,,,,,,12/8/2025,
Preparing for DRPM,Financial Planner Review Circle Chart,,,,,,,12/9/2025,
Preparing for DRPM,Provide Circle Chart to Team with Expectation Letter # 2 to Team ClientHub,Be sure to add the team members in this Followers Section at the bottom when you copy and paste the Expectations Email,Confirm date of DRPM,,,,,12/9/2025,
