Milestone,Parent Task,Parent Description,Sub-Task,Sub-Task Description,Sub-Sub-Task,Sub-Sub-Task Description,Assignee,Due Date,Comments
"Confirming & Scheduling Meeting Dates & Times","Confirm Meeting Date & Time with Client","Confirm Meeting Date & Time with Client and Any Questions Regarding Implementation Plan or Items Due From Last Meeting","","","","","","10/12/2025",""
"Confirming & Scheduling Meeting Dates & Times","Confirm Preselected Dates in ClientHub","Confirm Preselected Dates in ClientHub","","","","","","10/13/2025",""
"Confirming & Scheduling Meeting Dates & Times","Confirm Proposed Dates/Time for DRPM","Confirm Proposed Dates/Time for DRPM","","","","","","10/15/2025",""
"Confirming & Scheduling Meeting Dates & Times","Update New Meeting in ClientHub","Update New Meeting in ClientHub and Create Meeting Packet Folder","","","","","","10/22/2025",""
"Confirming & Scheduling Meeting Dates & Times","Send Out Expectation Email #1","Send Out Expectation Email #1 to Team Through Email","","","","","","10/23/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Estate Attorney","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Financial Planner","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Insurance Planner - Life","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Money Manager","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Tax Planner","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Consolidate Items Still Needed","Consolidate Items Still Needed and Send to SMEs","","","","","","10/24/2025",""
"Preparing for & Gathering Information for Meetings","Consolidate Highest Priority Conversations","Consolidate Highest Priority Conversations & Update Meeting Agenda","Communicate Team Priorities","Communicate the Team's Highest Priorities to each SME","","","","10/24/2025",""
"Preparing for DRPM","Create Circle Chart","Create Circle Chart","","","","","","12/8/2025",""
"Preparing for DRPM","Financial Planner Review","Financial Planner Review Circle Chart","","","","","","12/9/2025",""
"Preparing for DRPM","Provide Circle Chart to Team","Provide Circle Chart to Team with Expectation Letter #2 to Team ClientHub","Confirm DRPM Date","Confirm date of DRPM","","","","12/9/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Financial Roadmap","Financial Roadmap Updated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Implementation Plan","Implementation Plan (GPS) Updated","","","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Estate Attorney","Click on subtask below for list of reports","Legacy Flow Chart","The Legacy Flow Chart Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Estate Attorney","Click on subtask below for list of reports","POA Summary","POA Summary Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Financial Planner","Click on subtask below for list of reports","Goal Blueprint","The Goal Blueprint Updated","","12/10/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR01 Confirm Status","CSR01 Confirm Status of Last Meeting's Action Items","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR02 Implementation Plan","CSR02 Implementation Plan-of-Action Updated","","12/19/2025",""
