Milestone,Parent Task,Parent Description,Sub-Task,Sub-Task Description,Sub-Sub-Task,Sub-Sub-Task Description,Assignee,Due Date,Comments
"Confirming & Scheduling Meeting Dates & Times","Confirm Meeting Date & Time with Client","Confirm Meeting Date & Time with Client and Any Questions Regarding Implementation Plan or Items Due From Last Meeting","","","","","","10/12/2025",""
"Confirming & Scheduling Meeting Dates & Times","Confirm Preselected Dates in ClientHub","Confirm Preselected Dates in ClientHub","","","","","","10/13/2025",""
"Confirming & Scheduling Meeting Dates & Times","Confirm Proposed Dates/Time for DRPM","Confirm Proposed Dates/Time for DRPM","","","","","","10/15/2025",""
"Confirming & Scheduling Meeting Dates & Times","Update New Meeting in ClientHub","Update New Meeting in ClientHub and Create Meeting Packet Folder","","","","","","10/22/2025",""
"Confirming & Scheduling Meeting Dates & Times","Send Out Expectation Email #1","Send Out Expectation Email #1 to Team Through Email","","","","","","10/23/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Estate Attorney","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Financial Planner","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Insurance Planner - Life","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Money Manager","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Submit Items Still Needed","Submit Your Items Still Needed & Initial Highest Priority Conversation Reports","Tax Planner","Enter the Items Still Needed and your Highest Priority Conversation below in the comments area","","","","10/31/2025",""
"Preparing for & Gathering Information for Meetings","Consolidate Items Still Needed","Consolidate Items Still Needed and Send to SMEs","","","","","","10/24/2025",""
"Preparing for & Gathering Information for Meetings","Consolidate Highest Priority Conversations","Consolidate Highest Priority Conversations & Update Meeting Agenda","Communicate Team Priorities","Communicate the Team's Highest Priorities to each SME","","","","10/24/2025",""
"Preparing for & Gathering Information for Meetings","Request Account Values","Request Account Values for Any Outside Accounts and Transactions","","","","","","11/21/2025",""
"Preparing for & Gathering Information for Meetings","Request Actions Taken","Request Actions Taken Since Last Meeting by Team and Client","Create Initial Client Agenda","Create Initial Client Agenda","","","","12/1/2025",""
"Preparing for & Gathering Information for Meetings","Download Account Values","Download Account Values & Transactions for Growth Accounts","","","","","","12/6/2025",""
"Preparing for DRPM","Create Circle Chart","Create Circle Chart","","","","","","12/8/2025",""
"Preparing for DRPM","Financial Planner Review","Financial Planner Review Circle Chart","","","","","","12/9/2025",""
"Preparing for DRPM","Provide Circle Chart to Team","Provide Circle Chart to Team with Expectation Letter #2 to Team ClientHub","Confirm DRPM Date","Confirm date of DRPM","","","","12/9/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Financial Roadmap","Financial Roadmap Updated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Implementation Plan","Implementation Plan (GPS) Updated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Paperwork Sources","Paperwork Sources Updated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Behind Numbers Report","Behind the Numbers Report Generated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Numbers History","Numbers History Report Updated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Since Inception Report","Since Inception Report Updated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Goal Progress Report","Goal Progress Report","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Growth Progress Since Last Meeting","Growth Progress Since Last Meeting Generated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Growth Progress Since Inception","Growth Progress Since Inception Generated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Annual Income Report","Annual Income From Current Assets Report Generated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Total Progress Report","Total Progress Report Generated","","","","12/10/2025",""
"Preparing for DRPM","Generate Reports","Generate Reports in Database Documents Due for Preliminary Packet","Master Goal Tracker","The Master Goal Tracker Updated","","","","12/10/2025",""
